parameter,parameter_name,session,subject_id,age,param_value,age_group
b1,Reward Sensitivity,1,83,10.0,16.01,10-15
b1,Reward Sensitivity,1,159,16.0,4.808,15-20
b1,Reward Sensitivity,1,6138,15.0,11.87,10-15
b1,Reward Sensitivity,1,4172,10.0,4.32,10-15
b1,Reward Sensitivity,1,3798,16.0,17.28,15-20
b1,Reward Sensitivity,1,5278,12.0,9.947,10-15
b1,Reward Sensitivity,1,5820,24.0,20.58,20-25
b1,Reward Sensitivity,1,4348,11.0,14.58,10-15
b1,Reward Sensitivity,1,197,10.0,6.259,10-15
b1,Reward Sensitivity,1,3596,25.0,4.928,20-25
b1,Reward Sensitivity,1,1780,19.0,17.13,15-20
b1,Reward Sensitivity,1,583,20.0,16.09,15-20
b1,Reward Sensitivity,1,5673,10.0,8.626,10-15
b1,Reward Sensitivity,1,6215,22.0,6.283,20-25
b1,Reward Sensitivity,1,404,23.0,13.63,20-25
b1,Reward Sensitivity,1,7308,10.0,7.779,10-15
b1,Reward Sensitivity,1,2039,21.0,17.85,20-25
b1,Reward Sensitivity,1,2085,11.0,10.04,10-15
b1,Reward Sensitivity,1,5720,15.0,11.46,10-15
b1,Reward Sensitivity,1,7534,23.0,23.57,20-25
b1,Reward Sensitivity,1,321,16.0,5.749,15-20
b1,Reward Sensitivity,1,4824,20.0,-2.627,15-20
b1,Reward Sensitivity,1,4673,22.0,14.04,20-25
b1,Reward Sensitivity,1,5359,25.0,10.72,20-25
b1,Reward Sensitivity,1,3457,20.0,19.45,15-20
b1,Reward Sensitivity,1,2559,12.0,19.01,10-15
b1,Reward Sensitivity,1,223,26.0,20.55,20-25
b1,Reward Sensitivity,1,2791,22.0,7.875,20-25
b1,Reward Sensitivity,1,1571,23.0,6.617,20-25
b1,Reward Sensitivity,1,5496,10.0,3.868,10-15
b1,Reward Sensitivity,1,17,21.0,23.29,20-25
b1,Reward Sensitivity,1,6521,11.0,4.828,10-15
b1,Reward Sensitivity,1,45,13.0,4.103,10-15
b1,Reward Sensitivity,1,78,12.0,7.213,10-15
b1,Reward Sensitivity,1,5247,17.0,5.384,15-20
b1,Reward Sensitivity,1,5732,14.0,15.52,10-15
b1,Reward Sensitivity,1,7314,14.0,5.889,10-15
b1,Reward Sensitivity,1,285,23.0,27.12,20-25
b1,Reward Sensitivity,1,2402,13.0,25.32,10-15
b1,Reward Sensitivity,1,4729,16.0,3.271,15-20
b1,Reward Sensitivity,1,4727,16.0,3.679,15-20
b1,Reward Sensitivity,1,138,23.0,8.954,20-25
b1,Reward Sensitivity,1,26,25.0,14.62,20-25
b1,Reward Sensitivity,1,3268,25.0,5.069,20-25
b1,Reward Sensitivity,1,4582,11.0,13.59,10-15
b1,Reward Sensitivity,1,461,15.0,9.901,10-15
b1,Reward Sensitivity,1,2715,15.0,10.41,10-15
b1,Reward Sensitivity,1,174,23.0,11.93,20-25
b1,Reward Sensitivity,1,4661,23.0,8.238,20-25
b1,Reward Sensitivity,1,429,16.0,8.52,15-20
b1,Reward Sensitivity,1,5855,12.0,1.892,10-15
b1,Reward Sensitivity,1,4314,21.0,6.4,20-25
b1,Reward Sensitivity,1,5893,21.0,12.81,20-25
b1,Reward Sensitivity,1,4533,23.0,11.41,20-25
b1,Reward Sensitivity,1,293,20.0,6.998,15-20
b1,Reward Sensitivity,1,6631,12.0,3.212,10-15
b1,Reward Sensitivity,1,3790,16.0,9.351,15-20
b1,Reward Sensitivity,1,5267,10.0,11.2,10-15
b1,Reward Sensitivity,1,626,14.0,8.493,10-15
b1,Reward Sensitivity,1,3991,22.0,7.116,20-25
b1,Reward Sensitivity,1,3534,26.0,14.88,20-25
b1,Reward Sensitivity,1,3330,25.0,13.65,20-25
b1,Reward Sensitivity,1,5314,21.0,9.285,20-25
b1,Reward Sensitivity,1,302,13.0,9.694,10-15
b1,Reward Sensitivity,1,4947,13.0,7.931,10-15
b1,Reward Sensitivity,1,210,11.0,12.19,10-15
b1,Reward Sensitivity,1,228,14.0,7.551,10-15
b1,Reward Sensitivity,1,3456,14.0,5.213,10-15
b1,Reward Sensitivity,1,4200,14.0,15.39,10-15
b1,Reward Sensitivity,1,240,13.0,8.547,10-15
b1,Reward Sensitivity,1,6416,17.0,19.79,15-20
b1,Reward Sensitivity,1,7612,12.0,4.736,10-15
b1,Reward Sensitivity,1,1456,14.0,3.787,10-15
b1,Reward Sensitivity,1,33,11.0,6.711,10-15
b1,Reward Sensitivity,1,4004,17.0,0.484,15-20
b1,Reward Sensitivity,1,592,11.0,6.732,10-15
b1,Reward Sensitivity,1,7547,13.0,5.056,10-15
b1,Reward Sensitivity,1,6072,12.0,8.457,10-15
b1,Reward Sensitivity,1,266,16.0,6.22,15-20
